QtdRobots: 15
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -10
PointsMoving: 10
MaxPopulation: 500
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 5	 mr: 0.2	 nc: 0.5	 nm: 0.5	 bmp: 1	 cc: 1
	Repetition 0
		Population 0
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 0.67 	ga1: 8.10 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.27 	gb1: 4.16 	gb2: 0.29 	gb3: 0.15 	gb4: -0.17 	gb5: 0.56 	gb6: 0.38 	gb7: -0.47 	gb8: 0.44 	gb9: -0.61
			Robot 10 	f: 0.00 	mf: 0.00 	ga0: 0.84 	ga1: 5.78 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.22 	gb1: 4.04 	gb2: 0.12 	gb3: -0.05 	gb4: -0.19 	gb5: 0.81 	gb6: 1.65 	gb7: 0.17 	gb8: 1.55 	gb9: -1.49
			Robot 11 	f: 0.00 	mf: 0.00 	ga0: 0.76 	ga1: 8.73 	ga2: 0.00 	ga3: 0.00 	ga4: 0.04 	ga5: 0.00 	ga6: 0.05 	gb0: 0.26 	gb1: 5.30 	gb2: 0.18 	gb3: -0.14 	gb4: -0.13 	gb5: 0.89 	gb6: 1.38 	gb7: 0.47 	gb8: 1.41 	gb9: -0.93
			Robot 12 	f: 0.00 	mf: 0.00 	ga0: 0.80 	ga1: 7.70 	ga2: 0.06 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.23 	gb1: 4.57 	gb2: 0.18 	gb3: -0.12 	gb4: -0.19 	gb5: 0.34 	gb6: 1.14 	gb7: 0.36 	gb8: 1.77 	gb9: -0.93
			Robot 13 	f: 0.00 	mf: 0.00 	ga0: 0.79 	ga1: 8.30 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.19 	ga6: 0.14 	gb0: 0.21 	gb1: 4.83 	gb2: 0.18 	gb3: -0.15 	gb4: -0.25 	gb5: 0.55 	gb6: 1.35 	gb7: 0.59 	gb8: 1.29 	gb9: -0.92
			Robot 14 	f: 0.00 	mf: 0.00 	ga0: 0.83 	ga1: 9.80 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: -0.97 	gb1: -0.18 	gb2: 0.39 	gb3: -0.40 	gb4: -0.89 	gb5: 2.11 	gb6: 4.26 	gb7: 1.05 	gb8: 4.81 	gb9: -4.02
		Population 2
			Robot 0 	f: -555.03 	mf: -185.00 	ga0: -1.90 	ga1: 9.38 	ga2: 0.07 	ga3: 0.06 	ga4: 0.00 	ga5: 0.06 	ga6: 0.00 	gb0: -1.91 	gb1: 6.11 	gb2: 0.14 	gb3: -0.13 	gb4: -0.26 	gb5: 0.74 	gb6: 1.31 	gb7: 0.20 	gb8: 1.54 	gb9: -1.26
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: -4.08 	ga1: 5.72 	ga2: 0.25 	ga3: 0.02 	ga4: 0.00 	ga5: 0.19 	ga6: 0.00 	gb0: -2.18 	gb1: 3.13 	gb2: 0.31 	gb3: -0.20 	gb4: -0.35 	gb5: 0.79 	gb6: 1.35 	gb7: 0.35 	gb8: 1.50 	gb9: -1.47
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: -4.08 	ga1: 5.89 	ga2: 0.00 	ga3: 0.10 	ga4: 0.00 	ga5: 0.06 	ga6: 0.02 	gb0: -2.20 	gb1: 3.35 	gb2: 0.12 	gb3: -0.04 	gb4: -0.22 	gb5: 0.71 	gb6: 1.48 	gb7: 0.19 	gb8: 1.49 	gb9: -1.33
			Robot 3 	f: 0.00 	mf: 0.00 	ga0: 0.79 	ga1: 9.05 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.09 	gb0: 0.25 	gb1: 5.65 	gb2: 0.22 	gb3: -0.23 	gb4: -0.39 	gb5: 0.77 	gb6: 1.41 	gb7: 0.37 	gb8: 1.46 	gb9: -1.19
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 0.78 	ga1: 8.88 	ga2: 0.09 	ga3: 0.00 	ga4: 0.00 	ga5: 0.07 	ga6: 0.17 	gb0: 0.09 	gb1: 5.63 	gb2: 0.13 	gb3: -0.23 	gb4: -0.19 	gb5: 0.75 	gb6: 1.45 	gb7: 0.35 	gb8: 1.58 	gb9: -1.36
			Robot 5 	f: 0.00 	mf: 0.00 	ga0: -4.59 	ga1: 7.01 	ga2: 0.00 	ga3: 0.06 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: -2.48 	gb1: 4.18 	gb2: 0.22 	gb3: -0.11 	gb4: -0.35 	gb5: 0.69 	gb6: 1.34 	gb7: 0.45 	gb8: 1.53 	gb9: -1.40
			Robot 6 	f: -575.56 	mf: -191.67 	ga0: -1.63 	ga1: 6.88 	ga2: 0.00 	ga3: 0.01 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: -1.68 	gb1: 4.12 	gb2: 0.04 	gb3: -0.10 	gb4: -0.35 	gb5: 0.76 	gb6: 1.36 	gb7: 0.35 	gb8: 1.71 	gb9: -1.36
			Robot 7 	f: -300.66 	mf: -296.33 	ga0: -0.56 	ga1: 5.91 	ga2: 0.09 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: -0.92 	gb1: 3.38 	gb2: 0.17 	gb3: -0.11 	gb4: -0.28 	gb5: 0.84 	gb6: 1.26 	gb7: 0.35 	gb8: 1.63 	gb9: -1.21
			Robot 8 	f: 0.00 	mf: 0.00 	ga0: 0.77 	ga1: 4.80 	ga2: 0.05 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.26 	gb1: 2.95 	gb2: 0.18 	gb3: -0.15 	gb4: -0.26 	gb5: 0.60 	gb6: 1.45 	gb7: 0.26 	gb8: 1.62 	gb9: -1.31
			Robot 9 	f: -289.60 	mf: -96.33 	ga0: -1.63 	ga1: 8.71 	ga2: 0.10 	ga3: 0.06 	ga4: 0.00 	ga5: 0.00 	ga6: 0.20 	gb0: -1.70 	gb1: 5.32 	gb2: 0.21 	gb3: -0.05 	gb4: -0.29 	gb5: 0.62 	gb6: 1.58 	gb7: 0.37 	gb8: 1.52 	gb9: -1.38
			Robot 10 	f: 0.00 	mf: 0.00 	ga0: -4.58 	ga1: 7.79 	ga2: 0.00 	ga3: 0.00 	ga4: 0.11 	ga5: 0.00 	ga6: 0.10 	gb0: -2.38 	gb1: 4.78 	gb2: 0.13 	gb3: -0.03 	gb4: -0.20 	gb5: 0.75 	gb6: 1.58 	gb7: 0.30 	gb8: 1.65 	gb9: -1.33
			Robot 11 	f: 0.00 	mf: 0.00 	ga0: 0.79 	ga1: 9.26 	ga2: 0.00 	ga3: 0.00 	ga4: 0.02 	ga5: 0.04 	ga6: 0.03 	gb0: 0.26 	gb1: 5.96 	gb2: 0.21 	gb3: -0.14 	gb4: -0.28 	gb5: 0.77 	gb6: 1.51 	gb7: 0.32 	gb8: 1.54 	gb9: -1.19
			Robot 12 	f: 0.00 	mf: 0.00 	ga0: 0.82 	ga1: 8.75 	ga2: 0.03 	ga3: 0.00 	ga4: 0.01 	ga5: 0.00 	ga6: 0.00 	gb0: 0.17 	gb1: 5.56 	gb2: 0.08 	gb3: -0.06 	gb4: -0.23 	gb5: 0.69 	gb6: 1.38 	gb7: 0.30 	gb8: 1.55 	gb9: -1.18
			Robot 13 	f: 0.00 	mf: 0.00 	ga0: 0.81 	ga1: 2.53 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.09 	ga6: 0.07 	gb0: 0.21 	gb1: 2.40 	gb2: 0.23 	gb3: -0.05 	gb4: -0.20 	gb5: 0.73 	gb6: 1.35 	gb7: 0.35 	gb8: 1.43 	gb9: -1.30
			Robot 14 	f: 0.00 	mf: 0.00 	ga0: 0.83 	ga1: 9.80 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: -0.97 	gb1: -0.18 	gb2: 0.39 	gb3: -0.40 	gb4: -0.89 	gb5: 2.11 	gb6: 4.26 	gb7: 1.05 	gb8: 4.81 	gb9: -4.02
		Population 3
			Robot 0 	f: -505.57 	mf: -265.00 	ga0: -0.53 	ga1: 9.59 	ga2: 0.03 	ga3: 0.03 	ga4: 0.00 	ga5: 0.03 	ga6: 0.00 	gb0: -0.92 	gb1: 6.19 	gb2: 0.24 	gb3: -0.14 	gb4: -0.26 	gb5: 0.81 	gb6: 1.42 	gb7: 0.31 	gb8: 1.61 	gb9: -1.38
			Robot 1 	f: -565.45 	mf: -141.25 	ga0: -1.63 	ga1: 7.76 	ga2: 0.12 	ga3: 0.01 	ga4: 0.00 	ga5: 0.11 	ga6: 0.00 	gb0: -1.60 	gb1: 4.68 	gb2: 0.22 	gb3: -0.22 	gb4: -0.38 	gb5: 0.82 	gb6: 1.42 	gb7: 0.36 	gb8: 1.51 	gb9: -1.38
			Robot 2 	f: -265.31 	mf: -66.25 	ga0: -5.31 	ga1: 7.84 	ga2: 0.00 	ga3: 0.05 	ga4: 0.00 	ga5: 0.03 	ga6: 0.01 	gb0: -3.54 	gb1: 4.72 	gb2: 0.11 	gb3: -0.09 	gb4: -0.23 	gb5: 0.75 	gb6: 1.35 	gb7: 0.26 	gb8: 1.55 	gb9: -1.35
			Robot 3 	f: 0.00 	mf: 0.00 	ga0: 0.81 	ga1: 9.43 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.04 	gb0: 0.21 	gb1: 6.00 	gb2: 0.19 	gb3: -0.10 	gb4: -0.40 	gb5: 0.81 	gb6: 1.43 	gb7: 0.37 	gb8: 1.50 	gb9: -1.25
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 0.81 	ga1: 9.34 	ga2: 0.05 	ga3: 0.00 	ga4: 0.00 	ga5: 0.03 	ga6: 0.09 	gb0: 0.25 	gb1: 6.05 	gb2: 0.21 	gb3: -0.08 	gb4: -0.20 	gb5: 0.66 	gb6: 1.40 	gb7: 0.38 	gb8: 1.66 	gb9: -1.40
			Robot 5 	f: -587.71 	mf: -146.75 	ga0: -1.88 	ga1: 8.41 	ga2: 0.00 	ga3: 0.20 	ga4: 0.00 	ga5: 0.19 	ga6: 0.00 	gb0: -1.83 	gb1: 5.20 	gb2: 0.14 	gb3: -0.02 	gb4: -0.36 	gb5: 0.76 	gb6: 1.48 	gb7: 0.42 	gb8: 1.53 	gb9: -1.44
			Robot 6 	f: 63.78 	mf: -128.00 	ga0: -1.63 	ga1: 6.88 	ga2: 0.00 	ga3: 0.01 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: -1.68 	gb1: 4.12 	gb2: 0.04 	gb3: -0.10 	gb4: -0.35 	gb5: 0.76 	gb6: 1.36 	gb7: 0.35 	gb8: 1.71 	gb9: -1.36
			Robot 7 	f: -585.69 	mf: -368.50 	ga0: 0.14 	ga1: 7.85 	ga2: 0.04 	ga3: 0.00 	ga4: 0.18 	ga5: 0.00 	ga6: 0.23 	gb0: -0.41 	gb1: 4.63 	gb2: 0.18 	gb3: -0.16 	gb4: -0.12 	gb5: 0.72 	gb6: 1.41 	gb7: 0.31 	gb8: 1.51 	gb9: -1.31
			Robot 8 	f: 0.00 	mf: 0.00 	ga0: 0.80 	ga1: 7.30 	ga2: 0.03 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.19 	gb1: 4.26 	gb2: 0.13 	gb3: -0.13 	gb4: -0.36 	gb5: 0.77 	gb6: 1.50 	gb7: 0.40 	gb8: 1.52 	gb9: -1.40
			Robot 9 	f: -573.15 	mf: -215.50 	ga0: -0.40 	ga1: 9.26 	ga2: 0.14 	ga3: 0.03 	ga4: 0.00 	ga5: 0.00 	ga6: 0.10 	gb0: -0.77 	gb1: 5.87 	gb2: 0.23 	gb3: -0.18 	gb4: -0.33 	gb5: 0.59 	gb6: 1.45 	gb7: 0.25 	gb8: 1.67 	gb9: -1.34
			Robot 10 	f: -522.98 	mf: -130.50 	ga0: -1.88 	ga1: 8.79 	ga2: 0.00 	ga3: 0.00 	ga4: 0.05 	ga5: 0.19 	ga6: 0.05 	gb0: -1.81 	gb1: 5.56 	gb2: 0.04 	gb3: -0.12 	gb4: -0.23 	gb5: 0.89 	gb6: 1.45 	gb7: 0.39 	gb8: 1.58 	gb9: -1.31
			Robot 11 	f: 0.00 	mf: 0.00 	ga0: 0.81 	ga1: 4.77 	ga2: 0.00 	ga3: 0.04 	ga4: 0.01 	ga5: 0.02 	ga6: 0.01 	gb0: 0.30 	gb1: 3.84 	gb2: 0.14 	gb3: -0.13 	gb4: -0.31 	gb5: 0.71 	gb6: 1.43 	gb7: 0.38 	gb8: 1.62 	gb9: -1.24
			Robot 12 	f: 0.00 	mf: 0.00 	ga0: 0.82 	ga1: 9.27 	ga2: 0.02 	ga3: 0.00 	ga4: 0.01 	ga5: 0.00 	ga6: 0.00 	gb0: 0.23 	gb1: 5.98 	gb2: 0.05 	gb3: -0.06 	gb4: -0.35 	gb5: 0.78 	gb6: 1.35 	gb7: 0.29 	gb8: 1.59 	gb9: -1.31
			Robot 13 	f: 0.00 	mf: 0.00 	ga0: 0.82 	ga1: 1.08 	ga2: 0.06 	ga3: 0.00 	ga4: 0.00 	ga5: 0.05 	ga6: 0.03 	gb0: 0.30 	gb1: 1.13 	gb2: 0.18 	gb3: -0.14 	gb4: -0.27 	gb5: 0.77 	gb6: 1.32 	gb7: 0.34 	gb8: 1.54 	gb9: -1.29
			Robot 14 	f: 0.00 	mf: 0.00 	ga0: 0.83 	ga1: 9.80 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: -0.97 	gb1: -0.18 	gb2: 0.39 	gb3: -0.40 	gb4: -0.89 	gb5: 2.11 	gb6: 4.26 	gb7: 1.05 	gb8: 4.81 	gb9: -4.02
		Population 4
			Robot 0 	f: -136.85 	mf: -239.20 	ga0: 0.15 	ga1: 5.85 	ga2: 0.02 	ga3: 0.01 	ga4: 0.00 	ga5: 0.01 	ga6: 0.00 	gb0: -0.39 	gb1: 4.33 	gb2: 0.07 	gb3: -0.10 	gb4: -0.33 	gb5: 0.70 	gb6: 1.34 	gb7: 0.37 	gb8: 1.57 	gb9: -1.44
			Robot 1 	f: -558.51 	mf: -224.60 	ga0: -0.40 	ga1: 8.78 	ga2: 0.06 	ga3: 0.13 	ga4: 0.00 	ga5: 0.06 	ga6: 0.00 	gb0: -0.87 	gb1: 5.58 	gb2: 0.16 	gb3: -0.08 	gb4: -0.32 	gb5: 0.69 	gb6: 1.39 	gb7: 0.39 	gb8: 1.55 	gb9: -1.43
			Robot 2 	f: -591.18 	mf: -171.20 	ga0: -2.24 	ga1: 2.41 	ga2: 0.00 	ga3: 0.03 	ga4: 0.00 	ga5: 0.11 	ga6: 0.01 	gb0: -2.34 	gb1: 2.27 	gb2: 0.14 	gb3: -0.20 	gb4: -0.34 	gb5: 0.67 	gb6: 1.31 	gb7: 0.32 	gb8: 1.68 	gb9: -1.29
			Robot 3 	f: 0.00 	mf: 0.00 	ga0: 0.82 	ga1: 5.31 	ga2: 0.00 	ga3: 0.05 	ga4: 0.00 	ga5: 0.00 	ga6: 0.02 	gb0: 0.22 	gb1: 4.17 	gb2: 0.20 	gb3: -0.17 	gb4: -0.40 	gb5: 0.80 	gb6: 1.42 	gb7: 0.36 	gb8: 1.63 	gb9: -1.35
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 0.82 	ga1: 9.57 	ga2: 0.15 	ga3: 0.00 	ga4: 0.00 	ga5: 0.02 	ga6: 0.04 	gb0: 0.14 	gb1: 6.22 	gb2: 0.19 	gb3: -0.10 	gb4: -0.37 	gb5: 0.69 	gb6: 1.44 	gb7: 0.36 	gb8: 1.71 	gb9: -1.26
			Robot 5 	f: -566.01 	mf: -230.60 	ga0: -0.53 	ga1: 5.05 	ga2: 0.00 	ga3: 0.10 	ga4: 0.00 	ga5: 0.09 	ga6: 0.00 	gb0: -1.05 	gb1: 3.73 	gb2: 0.17 	gb3: 0.01 	gb4: -0.34 	gb5: 0.76 	gb6: 1.49 	gb7: 0.37 	gb8: 1.51 	gb9: -1.44
			Robot 6 	f: -495.03 	mf: -201.40 	ga0: -4.70 	ga1: 8.34 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: -3.08 	gb1: 5.14 	gb2: 0.12 	gb3: -0.03 	gb4: -0.32 	gb5: 0.76 	gb6: 1.34 	gb7: 0.27 	gb8: 1.64 	gb9: -1.35
			Robot 7 	f: 0.00 	mf: -294.80 	ga0: 0.48 	ga1: 8.83 	ga2: 0.26 	ga3: 0.00 	ga4: 0.09 	ga5: 0.00 	ga6: 0.11 	gb0: -0.12 	gb1: 5.51 	gb2: 0.25 	gb3: -0.16 	gb4: -0.19 	gb5: 0.79 	gb6: 1.42 	gb7: 0.43 	gb8: 1.54 	gb9: -1.35
			Robot 8 	f: 0.00 	mf: 0.00 	ga0: 0.81 	ga1: 4.78 	ga2: 0.01 	ga3: 0.15 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.27 	gb1: 3.32 	gb2: 0.20 	gb3: -0.15 	gb4: -0.38 	gb5: 0.62 	gb6: 1.44 	gb7: 0.30 	gb8: 1.57 	gb9: -1.33
