QtdRobots: 15
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -100
PointsMoving: 10
MaxPopulation: 500
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 5	 mr: 0.4	 nc: 0.5	 nm: 0.2	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 0.62 	ga1: 2.55 	ga2: 0.00 	ga3: 0.08 	ga4: 0.06 	ga5: 0.00 	ga6: 0.00 	gb0: 0.59 	gb1: 0.67 	gb2: 0.26 	gb3: 0.25 	gb4: 0.33 	gb5: -0.70 	gb6: 1.02 	gb7: 1.43 	gb8: 3.95 	gb9: -1.57
			Robot 11 	f: 0.00 	mf: 0.00 	ga0: 0.93 	ga1: 1.27 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.24 	gb0: 0.72 	gb1: 0.61 	gb2: 0.45 	gb3: 0.75 	gb4: 0.32 	gb5: 2.12 	gb6: 1.91 	gb7: 1.85 	gb8: 1.69 	gb9: 0.58
			Robot 12 	f: 0.00 	mf: 0.00 	ga0: 0.91 	ga1: 4.10 	ga2: 0.02 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.05 	gb0: 0.39 	gb1: 0.55 	gb2: 0.12 	gb3: 0.85 	gb4: 0.30 	gb5: 1.23 	gb6: -1.09 	gb7: -3.03 	gb8: 1.83 	gb9: 0.55
			Robot 13 	f: 0.00 	mf: 0.00 	ga0: 1.06 	ga1: 4.12 	ga2: 0.00 	ga3: 0.14 	ga4: 0.00 	ga5: 0.15 	ga6: 0.00 	gb0: 0.58 	gb1: 0.31 	gb2: 0.41 	gb3: 0.31 	gb4: 0.44 	gb5: -1.18 	gb6: 0.20 	gb7: -0.89 	gb8: 2.39 	gb9: 2.60
			Robot 14 	f: 0.00 	mf: 0.00 	ga0: 0.60 	ga1: 0.70 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.99 	gb1: 0.63 	gb2: 0.27 	gb3: 0.90 	gb4: 0.54 	gb5: 3.01 	gb6: -0.35 	gb7: 1.46 	gb8: 4.12 	gb9: 1.31
		Population 1
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 0.80 	ga1: 0.81 	ga2: 0.19 	ga3: 0.21 	ga4: 0.23 	ga5: 0.01 	ga6: 0.00 	gb0: 0.69 	gb1: 0.39 	gb2: 0.44 	gb3: 0.62 	gb4: 0.61 	gb5: -0.50 	gb6: -0.70 	gb7: 2.96 	gb8: 1.45 	gb9: -2.54
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 0.73 	ga1: 0.73 	ga2: 0.01 	ga3: 0.09 	ga4: 0.12 	ga5: 0.33 	ga6: 0.15 	gb0: 0.45 	gb1: 0.38 	gb2: 0.25 	gb3: 0.56 	gb4: 0.45 	gb5: 2.98 	gb6: -0.93 	gb7: -0.32 	gb8: -0.45 	gb9: -0.71
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 0.79 	ga1: 3.14 	ga2: 0.19 	ga3: 0.07 	ga4: 0.23 	ga5: 0.00 	ga6: 0.02 	gb0: 0.76 	gb1: 0.60 	gb2: 0.14 	gb3: 0.60 	gb4: 0.69 	gb5: 3.38 	gb6: -0.62 	gb7: -1.79 	gb8: 1.73 	gb9: 0.80
			Robot 3 	f: 0.00 	mf: 0.00 	ga0: 0.63 	ga1: 2.59 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.24 	gb0: 0.61 	gb1: 0.70 	gb2: 0.41 	gb3: 0.71 	gb4: 0.27 	gb5: 0.00 	gb6: 1.41 	gb7: 1.11 	gb8: 2.49 	gb9: 2.79
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 0.92 	ga1: 2.30 	ga2: 0.03 	ga3: 0.02 	ga4: 0.10 	ga5: 0.00 	ga6: 0.10 	gb0: 0.71 	gb1: 0.43 	gb2: 0.39 	gb3: 0.73 	gb4: 0.59 	gb5: -0.82 	gb6: 1.34 	gb7: 0.47 	gb8: 0.55 	gb9: 2.00
			Robot 5 	f: 0.00 	mf: 0.00 	ga0: 0.80 	ga1: 1.40 	ga2: 0.00 	ga3: 0.29 	ga4: 0.08 	ga5: 0.09 	ga6: 0.16 	gb0: 0.80 	gb1: 0.69 	gb2: 0.31 	gb3: 0.48 	gb4: 0.23 	gb5: 0.94 	gb6: 1.41 	gb7: 2.30 	gb8: 1.95 	gb9: -1.54
			Robot 6 	f: 0.00 	mf: 0.00 	ga0: 0.62 	ga1: 1.51 	ga2: 0.12 	ga3: 0.20 	ga4: 0.06 	ga5: 0.12 	ga6: 0.00 	gb0: 0.58 	gb1: 0.46 	gb2: 0.49 	gb3: 0.49 	gb4: 0.37 	gb5: -1.31 	gb6: 0.53 	gb7: 1.39 	gb8: 0.37 	gb9: 0.56
			Robot 7 	f: 0.00 	mf: 0.00 	ga0: 0.24 	ga1: 1.35 	ga2: 0.00 	ga3: 0.04 	ga4: 0.13 	ga5: 0.00 	ga6: 0.05 	gb0: 0.71 	gb1: 0.80 	gb2: 0.42 	gb3: 0.42 	gb4: 0.76 	gb5: -0.65 	gb6: -2.05 	gb7: -0.71 	gb8: 1.65 	gb9: 0.97
			Robot 8 	f: 0.00 	mf: 0.00 	ga0: 0.60 	ga1: 1.90 	ga2: 0.00 	ga3: 0.02 	ga4: 0.19 	ga5: 0.09 	ga6: 0.11 	gb0: 0.73 	gb1: 0.73 	gb2: 0.41 	gb3: 0.32 	gb4: 0.79 	gb5: 3.01 	gb6: 0.77 	gb7: 0.46 	gb8: 2.83 	gb9: 0.51
			Robot 9 	f: 0.00 	mf: 0.00 	ga0: 0.75 	ga1: 1.25 	ga2: 0.08 	ga3: 0.12 	ga4: 0.00 	ga5: 0.00 	ga6: 0.09 	gb0: 0.85 	gb1: 0.35 	gb2: 0.37 	gb3: 0.50 	gb4: 0.58 	gb5: 0.49 	gb6: -0.18 	gb7: -1.80 	gb8: 2.91 	gb9: 2.03
			Robot 10 	f: 0.00 	mf: 0.00 	ga0: 0.72 	ga1: 1.83 	ga2: 0.00 	ga3: 0.22 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.92 	gb1: 0.41 	gb2: 0.21 	gb3: 0.59 	gb4: 0.67 	gb5: -1.00 	gb6: 1.70 	gb7: 2.11 	gb8: 0.08 	gb9: -0.06
			Robot 11 	f: 0.00 	mf: 0.00 	ga0: 0.38 	ga1: 0.99 	ga2: 0.00 	ga3: 0.06 	ga4: 0.19 	ga5: 0.00 	ga6: 0.12 	gb0: 0.86 	gb1: 0.47 	gb2: 0.61 	gb3: 0.70 	gb4: 0.23 	gb5: 0.48 	gb6: 2.75 	gb7: 1.19 	gb8: 0.17 	gb9: -0.15
			Robot 12 	f: 0.00 	mf: 0.00 	ga0: 0.75 	ga1: 2.70 	ga2: 0.01 	ga3: 0.09 	ga4: 0.19 	ga5: 0.11 	ga6: 0.03 	gb0: 0.79 	gb1: 0.53 	gb2: 0.39 	gb3: 0.79 	gb4: 0.48 	gb5: 1.69 	gb6: 1.69 	gb7: -0.67 	gb8: -0.50 	gb9: 0.04
			Robot 13 	f: 0.00 	mf: 0.00 	ga0: 0.83 	ga1: 2.41 	ga2: 0.00 	ga3: 0.07 	ga4: 0.00 	ga5: 0.08 	ga6: 0.00 	gb0: 0.71 	gb1: 0.43 	gb2: 0.37 	gb3: 0.40 	gb4: 0.39 	gb5: 1.36 	gb6: 2.16 	gb7: 1.40 	gb8: 0.61 	gb9: 1.76
			Robot 14 	f: 0.00 	mf: 0.00 	ga0: 0.60 	ga1: 0.70 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.99 	gb1: 0.63 	gb2: 0.27 	gb3: 0.90 	gb4: 0.54 	gb5: 3.01 	gb6: -0.35 	gb7: 1.46 	gb8: 4.12 	gb9: 1.31
		Population 2
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 0.70 	ga1: 1.38 	ga2: 0.15 	ga3: 0.10 	ga4: 0.11 	ga5: 0.00 	ga6: 0.00 	gb0: 0.50 	gb1: 0.72 	gb2: 0.25 	gb3: 0.56 	gb4: 0.38 	gb5: 1.59 	gb6: 0.46 	gb7: 1.94 	gb8: 1.19 	gb9: -1.45
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 0.66 	ga1: 0.71 	ga2: 0.00 	ga3: 0.26 	ga4: 0.06 	ga5: 0.18 	ga6: 0.08 	gb0: 0.42 	gb1: 0.70 	gb2: 0.32 	gb3: 0.45 	gb4: 0.28 	gb5: 0.37 	gb6: 1.32 	gb7: -1.10 	gb8: 0.97 	gb9: -0.49
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 0.85 	ga1: 1.46 	ga2: 0.27 	ga3: 0.04 	ga4: 0.14 	ga5: 0.00 	ga6: 0.01 	gb0: 0.67 	gb1: 0.42 	gb2: 0.45 	gb3: 0.56 	gb4: 0.64 	gb5: 2.27 	gb6: -2.31 	gb7: 0.63 	gb8: -0.35 	gb9: -1.87
			Robot 3 	f: 0.00 	mf: 0.00 	ga0: 0.62 	ga1: 0.82 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.35 	gb0: 0.51 	gb1: 0.40 	gb2: 0.55 	gb3: 0.86 	gb4: 0.61 	gb5: -1.53 	gb6: 1.41 	gb7: 1.86 	gb8: 1.43 	gb9: 3.20
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 0.88 	ga1: 1.25 	ga2: 0.01 	ga3: 0.01 	ga4: 0.05 	ga5: 0.00 	ga6: 0.05 	gb0: 0.61 	gb1: 0.41 	gb2: 0.20 	gb3: 0.74 	gb4: 0.49 	gb5: -0.06 	gb6: 2.27 	gb7: -0.62 	gb8: -0.19 	gb9: -0.59
			Robot 5 	f: 0.00 	mf: 0.00 	ga0: 0.35 	ga1: 1.05 	ga2: 0.00 	ga3: 0.15 	ga4: 0.04 	ga5: 0.05 	ga6: 0.12 	gb0: 0.76 	gb1: 0.74 	gb2: 0.14 	gb3: 0.83 	gb4: 0.56 	gb5: 1.05 	gb6: 1.36 	gb7: -0.65 	gb8: 2.31 	gb9: -0.16
			Robot 6 	f: 0.00 	mf: 0.00 	ga0: 0.61 	ga1: 1.11 	ga2: 0.06 	ga3: 0.10 	ga4: 0.05 	ga5: 0.16 	ga6: 0.01 	gb0: 0.84 	gb1: 0.60 	gb2: 0.22 	gb3: 0.46 	gb4: 0.34 	gb5: -0.30 	gb6: 1.24 	gb7: 1.59 	gb8: -0.72 	gb9: 0.72
			Robot 7 	f: 0.00 	mf: 0.00 	ga0: 0.42 	ga1: 1.02 	ga2: 0.00 	ga3: 0.23 	ga4: 0.07 	ga5: 0.00 	ga6: 0.03 	gb0: 0.63 	gb1: 0.67 	gb2: 0.38 	gb3: 0.71 	gb4: 0.38 	gb5: 0.11 	gb6: 0.99 	gb7: 1.82 	gb8: -0.77 	gb9: -1.48
			Robot 8 	f: 0.00 	mf: 0.00 	ga0: 0.60 	ga1: 1.30 	ga2: 0.00 	ga3: 0.01 	ga4: 0.33 	ga5: 0.05 	ga6: 0.08 	gb0: 0.44 	gb1: 0.64 	gb2: 0.35 	gb3: 0.33 	gb4: 0.82 	gb5: 0.41 	gb6: 2.05 	gb7: -1.84 	gb8: 0.37 	gb9: 0.45
			Robot 9 	f: 0.00 	mf: 0.00 	ga0: 0.34 	ga1: 0.98 	ga2: 0.21 	ga3: 0.06 	ga4: 0.19 	ga5: 0.20 	ga6: 0.04 	gb0: 0.59 	gb1: 0.68 	gb2: 0.62 	gb3: 0.44 	gb4: 0.42 	gb5: -0.61 	gb6: 0.71 	gb7: 1.87 	gb8: 1.70 	gb9: -0.30
			Robot 10 	f: 0.00 	mf: 0.00 	ga0: 0.66 	ga1: 1.26 	ga2: 0.00 	ga3: 0.11 	ga4: 0.00 	ga5: 0.00 	ga6: 0.11 	gb0: 0.68 	gb1: 0.63 	gb2: 0.19 	gb3: 0.52 	gb4: 0.44 	gb5: 0.75 	gb6: -0.92 	gb7: -0.65 	gb8: -1.26 	gb9: 2.73
			Robot 11 	f: 0.00 	mf: 0.00 	ga0: 0.49 	ga1: 1.92 	ga2: 0.16 	ga3: 0.03 	ga4: 0.09 	ga5: 0.00 	ga6: 0.06 	gb0: 0.93 	gb1: 0.65 	gb2: 0.32 	gb3: 0.59 	gb4: 0.57 	gb5: 2.78 	gb6: -0.45 	gb7: 3.04 	gb8: 2.96 	gb9: 1.94
			Robot 12 	f: 0.00 	mf: 0.00 	ga0: 0.68 	ga1: 1.70 	ga2: 0.00 	ga3: 0.04 	ga4: 0.09 	ga5: 0.05 	ga6: 0.09 	gb0: 0.46 	gb1: 0.62 	gb2: 0.44 	gb3: 0.61 	gb4: 0.49 	gb5: -0.61 	gb6: -0.68 	gb7: -0.19 	gb8: 3.28 	gb9: 2.22
			Robot 13 	f: 0.00 	mf: 0.00 	ga0: 0.72 	ga1: 2.28 	ga2: 0.20 	ga3: 0.04 	ga4: 0.00 	ga5: 0.18 	ga6: 0.00 	gb0: 0.65 	gb1: 0.56 	gb2: 0.31 	gb3: 0.37 	gb4: 0.29 	gb5: 1.10 	gb6: 1.73 	gb7: -0.89 	gb8: 0.72 	gb9: -0.85
			Robot 14 	f: 0.00 	mf: 0.00 	ga0: 0.60 	ga1: 0.70 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.99 	gb1: 0.63 	gb2: 0.27 	gb3: 0.90 	gb4: 0.54 	gb5: 3.01 	gb6: -0.35 	gb7: 1.46 	gb8: 4.12 	gb9: 1.31
		Population 3
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 0.66 	ga1: 2.05 	ga2: 0.08 	ga3: 0.05 	ga4: 0.23 	ga5: 0.00 	ga6: 0.18 	gb0: 0.54 	gb1: 0.34 	gb2: 0.64 	gb3: 0.62 	gb4: 0.67 	gb5: 1.38 	gb6: 0.89 	gb7: 2.63 	gb8: 1.44 	gb9: -1.01
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 0.64 	ga1: 0.77 	ga2: 0.00 	ga3: 0.13 	ga4: 0.03 	ga5: 0.15 	ga6: 0.21 	gb0: 0.58 	gb1: 0.36 	gb2: 0.68 	gb3: 0.48 	gb4: 0.27 	gb5: 1.48 	gb6: 0.28 	gb7: -2.26 	gb8: 0.11 	gb9: 2.69
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 0.73 	ga1: 1.07 	ga2: 0.13 	ga3: 0.02 	ga4: 0.11 	ga5: 0.00 	ga6: 0.18 	gb0: 0.52 	gb1: 0.45 	gb2: 0.74 	gb3: 0.39 	gb4: 0.38 	gb5: 1.05 	gb6: -2.48 	gb7: 0.67 	gb8: 1.24 	gb9: -1.10
			Robot 3 	f: 49.09 	mf: 12.25 	ga0: 0.62 	ga1: 0.82 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.35 	gb0: 0.51 	gb1: 0.40 	gb2: 0.55 	gb3: 0.86 	gb4: 0.61 	gb5: -1.53 	gb6: 1.41 	gb7: 1.86 	gb8: 1.43 	gb9: 3.20
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 0.87 	ga1: 1.04 	ga2: 0.04 	ga3: 0.00 	ga4: 0.09 	ga5: 0.05 	ga6: 0.20 	gb0: 0.48 	gb1: 0.24 	gb2: 0.32 	gb3: 0.49 	gb4: 0.35 	gb5: -2.88 	gb6: 1.09 	gb7: 1.18 	gb8: -2.10 	gb9: -0.47
			Robot 5 	f: 0.00 	mf: 0.00 	ga0: 0.74 	ga1: 0.94 	ga2: 0.00 	ga3: 0.31 	ga4: 0.24 	ga5: 0.02 	ga6: 0.24 	gb0: 0.65 	gb1: 0.55 	gb2: 0.55 	gb3: 0.70 	gb4: 0.61 	gb5: 0.35 	gb6: 0.47 	gb7: -2.07 	gb8: -0.40 	gb9: -0.65
			Robot 6 	f: 0.00 	mf: 0.00 	ga0: 0.62 	ga1: 2.48 	ga2: 0.25 	ga3: 0.05 	ga4: 0.16 	ga5: 0.08 	ga6: 0.18 	gb0: 0.60 	gb1: 0.44 	gb2: 0.51 	gb3: 0.72 	gb4: 0.31 	gb5: 1.04 	gb6: 1.04 	gb7: 1.83 	gb8: -2.11 	gb9: 0.08
			Robot 7 	f: 0.00 	mf: 0.00 	ga0: 0.52 	ga1: 0.92 	ga2: 0.07 	ga3: 0.31 	ga4: 0.17 	ga5: 0.00 	ga6: 0.19 	gb0: 0.77 	gb1: 0.31 	gb2: 0.56 	gb3: 0.78 	gb4: 0.65 	gb5: 0.44 	gb6: 0.45 	gb7: -1.56 	gb8: -1.14 	gb9: -1.12
			Robot 8 	f: 0.00 	mf: 0.00 	ga0: 0.80 	ga1: 1.53 	ga2: 0.22 	ga3: 0.00 	ga4: 0.17 	ga5: 0.12 	ga6: 0.22 	gb0: 0.61 	gb1: 0.74 	gb2: 0.43 	gb3: 0.52 	gb4: 0.55 	gb5: -2.03 	gb6: 2.22 	gb7: -1.97 	gb8: 1.16 	gb9: 2.26
			Robot 9 	f: 0.00 	mf: 0.00 	ga0: 0.48 	ga1: 1.95 	ga2: 0.10 	ga3: 0.13 	ga4: 0.14 	ga5: 0.13 	ga6: 0.20 	gb0: 0.47 	gb1: 0.64 	gb2: 0.43 	gb3: 0.50 	gb4: 0.47 	gb5: 1.35 	gb6: -1.35 	gb7: 2.20 	gb8: 0.52 	gb9: 1.72
			Robot 10 	f: 0.00 	mf: 0.00 	ga0: 0.64 	ga1: 1.04 	ga2: 0.00 	ga3: 0.23 	ga4: 0.00 	ga5: 0.00 	ga6: 0.23 	gb0: 0.72 	gb1: 0.60 	gb2: 0.49 	gb3: 0.57 	gb4: 0.60 	gb5: 0.09 	gb6: -1.05 	gb7: 1.25 	gb8: 2.10 	gb9: 2.86
			Robot 11 	f: 0.00 	mf: 0.00 	ga0: 0.28 	ga1: 1.19 	ga2: 0.08 	ga3: 0.02 	ga4: 0.23 	ga5: 0.00 	ga6: 0.21 	gb0: 0.57 	gb1: 0.69 	gb2: 0.22 	gb3: 0.47 	gb4: 0.71 	gb5: -0.22 	gb6: -0.53 	gb7: 3.07 	gb8: 2.78 	gb9: 2.02
			Robot 12 	f: 0.00 	mf: 0.00 	ga0: 0.65 	ga1: 1.13 	ga2: 0.10 	ga3: 0.02 	ga4: 0.05 	ga5: 0.03 	ga6: 0.44 	gb0: 0.30 	gb1: 0.64 	gb2: 0.31 	gb3: 0.57 	gb4: 0.62 	gb5: 1.00 	gb6: -0.07 	gb7: 1.64 	gb8: -0.85 	gb9: -0.96
			Robot 13 	f: 0.00 	mf: 0.00 	ga0: 0.67 	ga1: 1.55 	ga2: 0.34 	ga3: 0.05 	ga4: 0.00 	ga5: 0.23 	ga6: 0.21 	gb0: 0.49 	gb1: 0.50 	gb2: 0.34 	gb3: 0.62 	gb4: 0.35 	gb5: -0.31 	gb6: -1.00 	gb7: 0.79 	gb8: -1.04 	gb9: 0.53
			Robot 14 	f: 0.00 	mf: 0.00 	ga0: 0.30 	ga1: 0.38 	ga2: 0.00 	ga3: 0.00 	ga4: 0.14 	ga5: 0.02 	ga6: 0.18 	gb0: 0.87 	gb1: 0.40 	gb2: 0.32 	gb3: 0.75 	gb4: 0.48 	gb5: 0.20 	gb6: 1.88 	gb7: 1.41 	gb8: 0.37 	gb9: -0.47
		Population 4
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 0.65 	ga1: 0.80 	ga2: 0.32 	ga3: 0.04 	ga4: 0.20 	ga5: 0.04 	ga6: 0.44 	gb0: 0.47 	gb1: 0.68 	gb2: 0.39 	gb3: 0.71 	gb4: 0.64 	gb5: -0.93 	gb6: -0.38 	gb7: 3.37 	gb8: 1.25 	gb9: -2.65
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 0.64 	ga1: 0.95 	ga2: 0.05 	ga3: 0.13 	ga4: 0.05 	ga5: 0.28 	ga6: 0.50 	gb0: 0.54 	gb1: 0.56 	gb2: 0.41 	gb3: 0.70 	gb4: 0.39 	gb5: -0.64 	gb6: -1.82 	gb7: -2.20 	gb8: -0.79 	gb9: -1.04
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 0.69 	ga1: 1.10 	ga2: 0.25 	ga3: 0.18 	ga4: 0.30 	ga5: 0.16 	ga6: 0.46 	gb0: 0.32 	gb1: 0.65 	gb2: 0.47 	gb3: 0.29 	gb4: 0.39 	gb5: 1.25 	gb6: 1.86 	gb7: -1.24 	gb8: -0.73 	gb9: -1.95
			Robot 3 	f: -0.04 	mf: 9.80 	ga0: 0.63 	ga1: 1.49 	ga2: 0.05 	ga3: 0.01 	ga4: 0.02 	ga5: 0.01 	ga6: 0.39 	gb0: 0.31 	gb1: 0.35 	gb2: 0.58 	gb3: 0.85 	gb4: 0.31 	gb5: -1.36 	gb6: -0.13 	gb7: 3.11 	gb8: 1.44 	gb9: 2.26
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 0.76 	ga1: 1.08 	ga2: 0.26 	ga3: 0.01 	ga4: 0.15 	ga5: 0.04 	ga6: 0.32 	gb0: 0.47 	gb1: 0.58 	gb2: 0.38 	gb3: 0.30 	gb4: 0.46 	gb5: 2.02 	gb6: -1.02 	gb7: -0.47 	gb8: 0.15 	gb9: 0.51
			Robot 5 	f: 0.00 	mf: 0.00 	ga0: 0.69 	ga1: 2.02 	ga2: 0.05 	ga3: 0.17 	ga4: 0.14 	ga5: 0.03 	ga6: 0.34 	gb0: 0.27 	gb1: 0.71 	gb2: 0.49 	gb3: 0.81 	gb4: 0.53 	gb5: -1.43 	gb6: -0.32 	gb7: 1.81 	gb8: -1.16 	gb9: 1.81
			Robot 6 	f: 0.00 	mf: 0.00 	ga0: 0.63 	ga1: 1.81 	ga2: 0.17 	ga3: 0.04 	ga4: 0.11 	ga5: 0.13 	ga6: 0.39 	gb0: 0.28 	gb1: 0.76 	gb2: 0.44 	gb3: 0.50 	gb4: 0.31 	gb5: 0.81 	gb6: -1.34 	gb7: 2.61 	gb8: 1.51 	gb9: -2.31
			Robot 7 	f: 0.00 	mf: 0.00 	ga0: 0.58 	ga1: 1.03 	ga2: 0.08 	ga3: 0.17 	ga4: 0.11 	ga5: 0.01 	ga6: 0.31 	gb0: 0.54 	gb1: 0.71 	gb2: 0.62 	gb3: 0.59 	gb4: 0.80 	gb5: -1.63 	gb6: -0.04 	gb7: -0.21 	gb8: -2.03 	gb9: -0.81
			Robot 8 	f: 0.00 	mf: 0.00 	ga0: 0.73 	ga1: 1.33 	ga2: 0.32 	ga3: 0.05 	ga4: 0.11 	ga5: 0.08 	ga6: 0.33 	gb0: 0.50 	gb1: 0.82 	gb2: 0.55 	gb3: 0.72 	gb4: 0.70 	gb5: 0.08 	gb6: -0.31 	gb7: 0.66 	gb8: 0.67 	gb9: 0.67
